日期,Annualized_Rf_Percent,Monthly_Rf_Rate,Monthly_Rf_Rate_Percent
2021-12-31,2.7754,0.002283924088973821,0.2283924088973821
2022-01-31,2.6997,0.0022223833255232694,0.22223833255232694
2022-02-28,2.775,0.002283599015816984,0.2283599015816984
2022-03-31,2.7878,0.002294000781648098,0.22940007816480978
2022-04-30,2.8386,0.0023352710858941528,0.23352710858941528
2022-05-31,2.7426,0.0022572642377964858,0.22572642377964858
2022-06-30,2.8205,0.002320568652436572,0.2320568652436572
2022-07-31,2.756,0.002268156704816615,0.2268156704816615
2022-08-31,2.6225,0.002159580287650842,0.2159580287650842
2022-09-30,2.7601,0.0022714892144308774,0.22714892144308774
2022-10-31,2.6433,0.0021765055745746054,0.21765055745746054
2022-11-30,2.885,0.0023729504702099113,0.23729504702099113
2022-12-31,2.8353,0.002332590708548965,0.2332590708548965
2023-01-31,2.8977,0.002383260862319325,0.23832608623193252
2023-02-28,2.9017,0.0023865079883542695,0.23865079883542695
2023-03-31,2.8528,0.0023468039313405686,0.23468039313405686
2023-04-30,2.7788,0.002286687163983947,0.2286687163983947
2023-05-31,2.685,0.0022104280523307374,0.22104280523307374
2023-06-30,2.6351,0.0021698334811359743,0.21698334811359743
2023-07-31,2.6597,0.002189848295769181,0.21898482957691812
2023-08-31,2.5575,0.0021066684904895716,0.21066684904895716
2023-09-30,2.6751,0.0022023756577109754,0.22023756577109754
2023-10-31,2.6938,0.002217585139027145,0.2217585139027145
2023-11-30,2.668,0.0021966002697810794,0.21966002697810794
2023-12-31,2.5553,0.002104877091886559,0.2104877091886559
2024-01-31,2.433,0.0020052361628957183,0.20052361628957183
2024-02-29,2.3375,0.0019273540232396247,0.19273540232396247
2024-03-31,2.2901,0.0018886736426366735,0.18886736426366735
2024-04-30,2.3028,0.0018990389844051325,0.18990389844051325
2024-05-31,2.2926,0.0018907141574953101,0.189071415749531
2024-06-30,2.2058,0.0018198407070857403,0.18198407070857403
2024-07-31,2.1494,0.0017737597159517282,0.17737597159517282
2024-08-31,2.1704,0.0017909202564485582,0.17909202564485582
2024-09-30,2.1518,0.0017757210842459514,0.17757210842459514
2024-10-31,2.1476,0.0017722886620092915,0.17722886620092915
2024-11-30,2.0206,0.0016684376032483073,0.16684376032483073
2024-12-31,1.6752,0.0013853948452824394,0.13853948452824394
2025-01-31,1.6299,0.0013482077827140504,0.13482077827140504
2025-02-28,1.7152,0.0014182184796813768,0.14182184796813768
2025-03-31,1.8129,0.0014983404885251517,0.14983404885251517
2025-04-30,1.6243,0.0013436096513343987,0.13436096513343987
2025-05-31,1.6712,0.0013821118308352531,0.1382111830835253
2025-06-30,1.6469,0.0013621649732769026,0.13621649732769026
2025-07-31,1.7044,0.001409357264636979,0.1409357264636979
2025-08-31,1.8379,0.0015188312131471093,0.15188312131471093
2025-09-30,1.8605,0.0015373508602902763,0.15373508602902763
2025-10-31,1.7954,0.0014839942368647385,0.14839942368647385
2025-11-30,1.8412,0.0015215356442888073,0.15215356442888073
2025-12-31,1.8473,0.0015265345328006052,0.15265345328006052
