code,name,actual_days,missing_days,completeness
002625,光启技术,966,0,100.0
300476,胜宏科技,966,0,100.0
300251,光线传媒,966,0,100.0
002384,东山精密,966,0,100.0
603893,瑞芯微,966,0,100.0
300803,指南针,966,0,100.0
601456,国联民生,956,10,98.96
600522,中天科技,966,0,100.0
601018,宁波港,966,0,100.0
300866,安克创新,966,0,100.0
601298,青岛港,960,6,99.38
002600,领益智造,966,0,100.0
601077,渝农商行,966,0,100.0
601825,沪农商行,966,0,100.0
302132,中航成飞,956,10,98.96
301236,软通动力,921,45,95.34
601058,赛轮轮胎,966,0,100.0
600066,宇通客车,965,1,99.9
300394,天孚通信,966,0,100.0
300502,新易盛,966,0,100.0
600377,宁沪高速,966,0,100.0
000630,铜陵有色,956,10,98.96
601127,赛力斯,966,0,100.0
002028,思源电气,966,0,100.0
002463,沪电股份,966,0,100.0
600482,中国动力,956,10,98.96
688169,石头科技,966,0,100.0
000975,山金国际,961,5,99.48
002422,科伦药业,966,0,100.0
600160,巨化股份,966,0,100.0
600027,华电国际,956,10,98.96
688009,中国通号,966,0,100.0
688082,盛美上海,966,0,100.0
000807,云铝股份,966,0,100.0
600161,天坛生物,966,0,100.0
600415,小商品城,966,0,100.0
300442,润泽科技,966,0,100.0
600026,中远海能,966,0,100.0
300832,新产业,966,0,100.0
300418,昆仑万维,966,0,100.0
600489,中金黄金,966,0,100.0
000999,华润三九,966,0,100.0
300308,中际旭创,966,0,100.0
600372,中航机载,948,18,98.14
688256,寒武纪,966,0,100.0
600515,海南机场,964,2,99.79
600023,浙能电力,966,0,100.0
601916,浙商银行,960,6,99.38
601872,招商轮船,966,0,100.0
000617,中油资本,966,0,100.0
688223,晶科能源,950,16,98.34
600875,东方电气,966,0,100.0
601607,上海医药,966,0,100.0
000983,山西焦煤,965,1,99.9
600803,新奥股份,959,7,99.28
600039,四川路桥,965,1,99.9
688187,时代电气,966,0,100.0
600674,川投能源,966,0,100.0
601689,拓普集团,966,0,100.0
688303,大全能源,966,0,100.0
605117,德业股份,966,0,100.0
600233,圆通速递,966,0,100.0
000792,盐湖股份,966,0,100.0
600219,南山铝业,966,0,100.0
600188,兖矿能源,966,0,100.0
002920,德赛西威,966,0,100.0
002648,卫星化学,966,0,100.0
300661,圣邦股份,966,0,100.0
300979,华利集团,966,0,100.0
000408,藏格矿业,961,5,99.48
600089,特变电工,966,0,100.0
603260,合盛硅业,966,0,100.0
300999,金龙鱼,966,0,100.0
300896,爱美客,966,0,100.0
688981,中芯国际,960,6,99.38
002466,天齐锂业,966,0,100.0
601898,中煤能源,966,0,100.0
000301,东方盛虹,966,0,100.0
600905,三峡能源,966,0,100.0
300782,卓胜微,966,0,100.0
601728,中国电信,966,0,100.0
300316,晶盛机电,966,0,100.0
300759,康龙化成,966,0,100.0
300760,迈瑞医疗,966,0,100.0
601868,中国能建,966,0,100.0
002459,晶澳科技,966,0,100.0
300750,宁德时代,966,0,100.0
002709,天赐材料,966,0,100.0
605499,东鹏饮料,966,0,100.0
688396,华润微,966,0,100.0
688126,沪硅产业,956,10,98.96
688111,金山办公,966,0,100.0
601995,中金公司,946,20,97.93
600426,华鲁恒升,966,0,100.0
300274,阳光电源,966,0,100.0
600600,青岛啤酒,966,0,100.0
688012,中微公司,960,6,99.38
603195,公牛集团,966,0,100.0
002049,紫光国微,966,0,100.0
600150,中国船舶,952,14,98.55
603392,万泰生物,966,0,100.0
600845,宝信软件,966,0,100.0
600918,中泰证券,966,0,100.0
688008,澜起科技,966,0,100.0
000977,浪潮信息,966,0,100.0
601816,京沪高铁,966,0,100.0
603369,今世缘,966,0,100.0
601100,恒立液压,966,0,100.0
000708,中信特钢,966,0,100.0
002371,北方华创,966,0,100.0
003816,中国广核,966,0,100.0
300014,亿纬锂能,966,0,100.0
300628,亿联网络,966,0,100.0
601658,邮储银行,966,0,100.0
300347,泰格医药,966,0,100.0
600183,生益科技,966,0,100.0
600989,宝丰能源,966,0,100.0
601236,红塔证券,966,0,100.0
601698,中国卫通,966,0,100.0
603501,韦尔股份,966,0,100.0
002916,深南电路,966,0,100.0
000596,古井贡酒,966,0,100.0
002938,鹏鼎控股,966,0,100.0
300413,芒果超媒,966,0,100.0
300498,温氏股份,966,0,100.0
601319,中国人保,966,0,100.0
603019,中科曙光,956,10,98.96
603986,兆易创新,966,0,100.0
002179,中航光电,966,0,100.0
000661,长春高新,966,0,100.0
002001,新和成,966,0,100.0
601138,工业富联,966,0,100.0
002311,海大集团,966,0,100.0
600760,中航沈飞,966,0,100.0
601066,中信建投,966,0,100.0
603259,药明康德,966,0,100.0
601360,三六零,966,0,100.0
600025,华能水电,966,0,100.0
600346,恒力股份,966,0,100.0
603288,海天味业,966,0,100.0
601238,广汽集团,966,0,100.0
601808,中海油服,966,0,100.0
600176,中国巨石,966,0,100.0
600438,通威股份,966,0,100.0
600809,山西汾酒,966,0,100.0
601838,成都银行,966,0,100.0
601012,隆基股份,966,0,100.0
002601,龙蟒佰利,966,0,100.0
603799,华友钴业,966,0,100.0
600011,华能国际,966,0,100.0
002460,赣锋锂业,966,0,100.0
601878,浙商证券,966,0,100.0
300122,智飞生物,966,0,100.0
300015,爱尔眼科,966,0,100.0
002352,顺丰控股,966,0,100.0
600436,片仔癀,966,0,100.0
600919,江苏银行,966,0,100.0
600926,杭州银行,966,0,100.0
601229,上海银行,966,0,100.0
601881,中国银河,966,0,100.0
002714,牧原股份,966,0,100.0
300033,同花顺,966,0,100.0
601877,正泰电器,966,0,100.0
000938,紫光股份,966,0,100.0
002027,分众传媒,966,0,100.0
600061,国投安信,966,0,100.0
001979,招商蛇口,956,10,98.96
601211,国泰君安,947,19,98.03
601985,中国核电,966,0,100.0
002736,国信证券,956,10,98.96
300059,东方财富,966,0,100.0
600958,东方证券,960,6,99.38
601021,春秋航空,966,0,100.0
601788,光大证券,966,0,100.0
601919,中国远洋,966,0,100.0
000166,申万宏源,966,0,100.0
600570,恒生电子,966,0,100.0
300124,汇川技术,966,0,100.0
601225,陕西煤业,966,0,100.0
002252,上海莱士,956,10,98.96
002475,立讯精密,966,0,100.0
600018,上港集团,966,0,100.0
002230,科大讯飞,966,0,100.0
000333,美的集团,966,0,100.0
000963,华东医药,966,0,100.0
603993,洛阳钼业,966,0,100.0
002236,大华股份,966,0,100.0
600886,国投电力,966,0,100.0
601800,中国交建,966,0,100.0
000725,京东方A,966,0,100.0
002241,歌尔声学,966,0,100.0
601336,新华保险,966,0,100.0
601633,长城汽车,966,0,100.0
601669,中国水电,966,0,100.0
601901,方正证券,966,0,100.0
002594,比亚迪,966,0,100.0
601377,兴业证券,960,6,99.38
000776,广发证券,966,0,100.0
002415,海康威视,966,0,100.0
600115,东方航空,966,0,100.0
600276,恒瑞医药,966,0,100.0
600406,国电南瑞,966,0,100.0
600887,伊利股份,966,0,100.0
600893,航空动力,966,0,100.0
601818,光大银行,966,0,100.0
601288,农业银行,966,0,100.0
002304,洋河股份,966,0,100.0
600999,招商证券,966,0,100.0
601688,华泰证券,966,0,100.0
601888,中国国旅,966,0,100.0
601618,中国中冶,966,0,100.0
601668,中国建筑,966,0,100.0
601766,中国南车,966,0,100.0
000100,TCL集团,966,0,100.0
600588,用友软件,966,0,100.0
601186,中国铁建,966,0,100.0
601899,紫金矿业,966,0,100.0
601390,中国中铁,966,0,100.0
601601,中国太保,966,0,100.0
601939,建设银行,966,0,100.0
000338,潍柴动力,966,0,100.0
000895,双汇发展,966,0,100.0
002142,宁波银行,966,0,100.0
600111,包钢稀土,966,0,100.0
601009,南京银行,966,0,100.0
601169,北京银行,966,0,100.0
601857,中国石油,966,0,100.0
601088,中国神华,956,10,98.96
000876,新希望,966,0,100.0
601328,交通银行,966,0,100.0
601998,中信银行,966,0,100.0
601600,中国铝业,966,0,100.0
601318,中国平安,966,0,100.0
601166,兴业银行,966,0,100.0
601628,中国人寿,966,0,100.0
600547,山东黄金,966,0,100.0
601111,中国国航,966,0,100.0
600048,保利地产,966,0,100.0
601398,工商银行,966,0,100.0
601006,大秦铁路,966,0,100.0
601988,中国银行,966,0,100.0
000768,西飞国际,966,0,100.0
000538,云南白药,966,0,100.0
600690,青岛海尔,966,0,100.0
600660,福耀玻璃,966,0,100.0
600585,海螺水泥,966,0,100.0
600519,贵州茅台,966,0,100.0
600362,江西铜业,966,0,100.0
000858,五粮液,966,0,100.0
000625,长安汽车,966,0,100.0
000651,格力电器,966,0,100.0
000568,泸州老窖,966,0,100.0
000425,徐工科技,953,13,98.65
000157,中联重科,966,0,100.0
000063,中兴通讯,966,0,100.0
000001,深发展A,966,0,100.0
600009,上海机场,965,1,99.9
600010,包钢股份,966,0,100.0
600015,华夏银行,966,0,100.0
600016,民生银行,966,0,100.0
600019,宝钢股份,966,0,100.0
600028,中国石化,966,0,100.0
600029,南方航空,966,0,100.0
600030,中信证券,960,6,99.38
600031,三一重工,966,0,100.0
600036,招商银行,966,0,100.0
600050,中国联通,966,0,100.0
000002,万科A,966,0,100.0
